"","word","mu","alpha","drift","A","B","C","resamplestdev","theta","maxRhat","medianRhat","total.freq","median.daily.p","mean.daily.p","sd.daily.p","freq.acorr","lpcor"
"cor1230","disgusted",-10.9188072840887,1.21562141432912,0.590420094205332,-1.230161506951,0.558500162370038,-0.0396221205614773,1.55908145811535,0.00330117074557907,1.58126388558188,1.07858261467081,9.06693178868083,-13.0147574196303,-13.0605494618973,NA,0.360949937910065,0.939454939735102
"cor1231","decatur",-10.5717621050646,2.45668399607474,1.13017415948143,-2.74200179428602,0.370441895740444,-0.0265552455158576,1.73438436820024,0.00234368466924608,1.23095408013053,1.03908291985817,8.50572771330696,-13.7356360528106,-13.7003829405615,NA,0.239661800346459,0.962005984302217
"cor1232","decepticon",-13.6835560049452,-0.214756925628944,0.233387246547534,-1.00826943439058,-0.0301239442184419,0.108592393160707,0.793352700688531,0.0018801246048672,2.87917632822066,1.2389392064836,3.95124371858143,-15.0792157653738,-14.8015951083596,NA,-0.224292729668995,0.974879450626007
"cor1233","contursi",-14.2434283097684,-0.115516350771145,0.181737852091106,-0.94709519751363,-0.207573728043792,0.199737304638222,0.700639790289684,0.00207542347123694,1.93671803945774,1.66937896672852,2.83321334405622,-15.0217175646005,-14.9056695470277,NA,0.442335739054055,0.958690329527992
"cor1234","diller",-10.9598049043517,2.48909521983564,0.913698924628367,-2.21367306952116,0.536803388716588,-0.0160447282131587,1.73884440170678,0.00492065914004887,1.12158862112941,1.01111588499297,7.2991214627108,-14.5032246025269,-14.3139302598181,NA,0.473557623532719,0.944385443030717
"cor1235","duque",-10.3371615383319,0.991595321260262,0.832586378473139,-1.72233308897636,0.647131275689929,-0.0488806298705472,1.87670883111386,0.00536455974943237,1.10651391699743,1.01120507788873,7.02464903045364,-14.3562699330212,-14.1742893658861,NA,0.45058561786485,0.960164547144162
"cor1236","broadened",-11.7550590377998,2.46189530494464,0.56080932653417,-1.6291790406687,0.412156677349758,-0.0578912168374363,1.12989901017065,0.00374469845116455,1.85780401863541,1.12037292303881,8.12946976478423,-13.9338657425174,-13.9414236934297,NA,0.201883519280599,0.869026722397307
"cor1237","capsules",-10.0784807685699,2.53348543174203,0.87768419620516,-1.93613521709502,0.606148957793556,-0.126719075175892,1.50572381200359,0.0036864008661892,1.13776635936058,1.01183410880055,8.87262736591884,-13.4274449118632,-13.4007217551801,NA,0.376830180234532,0.946120119095516
"cor1238","airfields",-11.6774255372887,1.95787089769979,0.568568378390971,-1.42276144307407,0.608980016758631,-0.145213285992286,1.24257675821128,0.00899359658850485,1.53099409045022,1.05400293550155,7.19593722647557,-14.5316601888391,-14.4151106115763,NA,0.395404647298921,0.86263328587546
"cor1239","benefited",-10.6243080593936,0.0780671766814063,0.279077189497645,-0.467099057376223,0.591099982472372,-0.00270534819442433,1.13517892466325,0.00354983917957415,1.81071481471103,1.15272143074427,10.2424210434987,-11.7506123475006,-11.7556371875143,NA,0.433241189490772,0.950065798594782
"cor1240","boggs",-9.54949647296158,2.72096888225458,0.93960768415517,-3.18245460198934,0.475628273114882,0.160034498809916,1.97418683354615,0.0082494095787627,1.09635195148604,1.0045868547288,7.7106533235012,-14.4470143534403,-14.2657298963499,NA,0.642379854249051,0.952077946797026
"cor1241","beuf",-13.8637050633034,-0.152622562338474,0.113011309136115,-0.878996539371881,0.0990863459539934,-0.0938946138390089,0.738442050551527,0.00193706580293029,6.62309804302202,1.24113307325778,3.85014760171006,-15.0669927774839,-14.8583979375892,NA,0.260590082014884,0.909766545154012
"cor1242","aib",-11.2039260666146,1.07804013764657,0.434137154217287,-2.63847626944969,0.238365094050123,-0.0966578219020972,1.61955084265964,0.0105559209907363,1.68945267038339,1.01393400313517,6.83625927727707,-14.5735939930554,-14.5018768744457,NA,-0.00228957318947208,0.808403044939984
"cor1243","aho",-11.7677668523568,1.80577841112188,0.722456919225065,-2.22225916552684,0.317644368938062,0.1260539391426,0.353417751028075,0.0103649261332807,1.3024661488893,1.008246857178,6.93925394604151,-14.5547380438643,-14.423486504195,NA,0.28616449607079,0.925981712213663
"cor1244","actuator",-11.0922707912325,2.29234644037949,1.0572985897894,-2.52470520470348,0.449069373365122,-0.149650288446712,0.825421597298802,0.00344248000457496,1.09418680806771,1.00287693738561,6.82437367004309,-14.603018275305,-14.370481397672,NA,0.161143208179668,0.96461817160964
"cor1245","cassettes",-13.6270395528503,0.132646389815651,0.179439905411663,-0.9859427001621,0.0516300947907958,0.418460232001169,0.93300375306099,0.00288795316454889,2.9068962871201,1.38231748129816,6.07764224334903,-14.9353732695198,-14.7901541622471,NA,0.498607429549427,0.831590901541134
"cor1246","disgraced",-10.0122209490844,1.70262490768739,0.722488678196103,-1.27386282149827,0.724529844548121,-0.156715217492558,1.79044751767026,0.00311470430888611,1.11744368157216,1.02119301357702,9.2927495082169,-12.9617249686539,-12.942403815073,NA,0.48427736534726,0.950213882905986
"cor1247","celestial",-9.29176880870041,-0.00333984846033617,0.612186420999044,-1.05633205927732,0.697872121059643,-0.152997330865315,1.49051754275351,0.00394532118440617,1.4048471247035,1.07745020609857,9.41213770527079,-12.7875189381147,-12.8427283164909,NA,0.67280879203462,0.96118203742631
"cor1248","angelica",-9.33813373284405,3.03467575819511,1.12321069852112,-3.57515788797642,0.419349358592803,-0.0486421921890034,1.91968784709059,0.0039078924549553,1.12032668074504,1.00672469731129,8.0452677166078,-14.2334714559162,-14.0966470436205,NA,0.462752651360973,0.953476087419385
"cor1249","akl",-11.7582934758929,0.493010915388086,0.211059918239171,-0.750356793422699,0.742687332346824,0.184138564373024,1.10420432173625,0.00392880219249104,1.59810121051927,1.0918317465757,6.3456363608286,-14.603018275305,-14.5678655711604,NA,0.589721336299001,0.752258934782712
"cor1250","artistry",-11.6306308603476,2.59437153441184,0.615550791292953,-1.42611322386953,0.56589374645808,-0.176380273457985,1.54821900958853,0.00324987670083793,2.71884154212605,1.4128902925197,8.08579470128157,-13.9695281124024,-13.9726236271996,NA,0.277602457872337,0.872008118021803
"cor1251","design",-8.36539400264112,-0.48442736001848,0.256226713508631,-0.554878486012961,0.395527207715967,0.0859855418764642,0.994536661136339,0.00419174673961767,2.02118462446666,1.36800410753978,12.5502224767079,-9.40605213027671,-9.40750928059358,NA,0.418935316749568,0.998347831849743
"cor1252","cornfields",-13.8336748053613,0.0483813060617218,0.0942371442780316,-0.801354445534546,0.0711623991885555,0.294978609881915,0.793982963325177,0.00192718354082544,2.88451248833839,2.05333970005941,5.77455154554441,-14.9975269006429,-14.8382916581103,NA,0.265965037336057,0.814317611731217
"cor1253","deleted",-9.72158511939212,0.636736840164492,0.357968565262466,-0.458460578727625,0.731699945396755,-0.209085961280079,1.36840141118586,0.0021964705832145,2.02308903480529,1.18685163240842,11.0245460300341,-10.9394925358295,-10.9695461189103,NA,0.576969495387104,0.988516725035417
"cor1254","doses",-9.69606335480087,-0.147428783172561,0.580261776806777,-1.06668104049757,0.51766231944186,-0.010302869278224,1.85540799588757,0.00208492655227763,1.64487798843924,1.13380416841373,10.071963702508,-12.0215888327447,-12.0673953881839,NA,0.421396419176527,0.980808451062587
"cor1255","buckingham",-8.67878746253826,1.56589398522102,1.32639394992379,-2.60491382940309,0.580964388404102,-0.0830494215373899,2.14751423047446,0.00269784414333737,1.69935070265169,1.05156954666868,9.75973264889099,-12.870157837916,-12.8469506004909,NA,0.348882472383114,0.987910603367171
"cor1256","avi",-10.876785327025,2.46046331845238,0.724095795278701,-1.58797055894265,0.634906296142628,-0.2598314430664,1.66838890446077,0.00491952456265434,1.54169277913125,1.07189409860334,8.21229713822977,-13.798315888802,-13.852142131501,NA,0.180782373391864,0.908944221969678
