word,mu,scale,A,B,C,theta,jump,maxRhat,medianRhat,lastRhats,divergent,total.freq,median.daily.p,mean.daily.p,sd.daily.p,freq.acorr,lpcor
stroke/nn,-10.97989738,0.468170666,-0.230757248,0.613664096,-0.041638092,2.543315863,1.688941059,1.010159898,1.001208206,1.010159898,0,10.8906281,-11.11430399,-11.09211448,0.633146012,0.547430311,0.990548382
strokes/nns,-12.17050303,0.563571153,-0.147167035,0.68702446,-0.062647932,4.198659154,0.829262694,1.015985151,1.000601804,1.014777792,2,9.816785219,-12.25681873,-12.25129837,0.836719957,0.559858495,0.971009474
stronger/jjr,-9.964135498,0.168369144,-0.174186028,0.758990486,0.015351198,1.199924337,0.892565891,1.006686918,1.000234391,1.006686918,0,11.77210775,-10.05945313,-10.0603449,0.245871501,0.513018809,0.967097994
strong/jj,-8.33375823,0.106915092,-0.112577644,0.766987151,-0.10046275,1.116962056,0.984086676,1.019530537,1.000571473,1.012995073,0,13.40588983,-8.392908138,-8.395730799,0.147880299,0.511438569,0.972037631
strongly/rb,-10.21080625,0.196399246,-0.096609687,0.553993382,-0.092584429,3.168273757,1.301281529,1.01318152,1.000158318,1.01318152,0,11.56430276,-10.26430209,-10.26417203,0.252947311,0.390998191,0.984248963
strong/nnp,-11.43204999,0.404352034,0.196866374,0.388197828,-0.015230568,2.283948949,2.860437253,1.011103177,1.000132857,1.007348879,0,10.65918691,-11.36079592,-11.3165313,0.588154722,0.474255818,0.988981423
strowman/nnp,-14.06607952,0.863829822,2.132850825,0.799578704,0.113583703,-0.407645389,1.549992248,1.589234311,1.000297726,1.03580916,114,9.307376334,-12.45954931,-12.60041374,1.507179204,0.30470785,0.939679677
struck/nn,-12.55923025,0.545251346,-0.256555426,0.593714268,0.096932188,1.425393631,0.421240268,1.009152665,1.00018192,1.006559465,0,9.337149219,-12.69137553,-12.70724168,0.737428965,0.514112668,0.951753787
struck/vbd,-9.957572523,0.316137913,-0.267445894,0.708143177,-0.080820693,5.205883818,1.203259647,1.027947484,1.005610991,1.027947484,3,11.77367304,-10.07715729,-10.08725991,0.448661829,0.59919602,0.983649866
struck/vbn,-10.70110372,0.256591987,-0.161496239,0.543977734,-0.008667855,2.373784638,1.987643148,1.003280711,1.000030102,1.002623876,0,11.06142165,-10.78493448,-10.77909849,0.3630582,0.402029701,0.983009904
structure/nn,-10.22370904,0.183762172,0.117888898,0.578012503,0.09670238,0.738921419,1.634355015,1.00810141,1.000437287,1.00810141,0,11.66889449,-10.15557719,-10.17098159,0.293188326,0.386602167,0.986424169
struggle/nn,-10.5669915,0.210380255,-0.130821218,0.446232444,-0.069392303,3.942572851,2.960864013,1.004072858,1.000036608,1.004072858,0,11.18911868,-10.63829083,-10.62878734,0.274897712,0.318204425,0.97914653
struggle/vb,-11.79221543,0.208675242,0.080727093,0.471622157,-0.08358289,4.83837271,3.935142948,1.000964199,0.999903832,1.000728128,0,10.07204819,-11.74465604,-11.76623181,0.329982451,0.199616128,0.939353072
struggle/vbp,-12.23854616,0.275877094,0.181538891,0.580191087,-0.134339128,2.645025555,0.793240518,1.06046713,1.002480519,1.06046713,255,9.676837862,-12.14551362,-12.18724439,0.426483477,0.268599144,0.930496318
