day,lpobs,mu,low,high
200,-12.023203421552543,-12.137988323105295,-12.272597076888571,-11.998380869279009
201,-12.666442939507665,-12.697935856429782,-12.84667725937362,-12.541879373537252
202,-13.277231942347537,-13.079607129642296,-13.244467704655412,-12.899617325191691
203,-12.828619860347276,-12.948991709880012,-13.105507203926052,-12.787836314701114
204,-13.187805084296823,-13.065993635059048,-13.23926224956504,-12.875451977200603
205,-12.9758818807353,-12.910545942252744,-13.129684955293389,-12.681913986053157
206,-11.785044098420425,-11.85632414836564,-11.976737637485147,-11.728694260844101
207,-11.589914503950745,-11.6281363665786,-11.724362681190442,-11.5297080815401
208,-11.660039631832223,-11.675180901282738,-11.784429674399028,-11.57022245675399
209,-11.638002592747274,-11.67531102863742,-11.77699630143428,-11.565456848394216
210,-11.877350238751514,-11.926796940302863,-12.031831581828618,-11.811294741559415
211,-12.505271066213993,-12.521619618033995,-12.653390735848397,-12.373735235650633
212,-13.289988017218663,-12.952241834365196,-13.139307805677724,-12.766877638489385
213,-11.795311035687675,-11.850396217689074,-11.985186707300933,-11.711095535107892
214,-11.4858926978747,-11.540183266822378,-11.629394024603014,-11.445285576286741
215,-13.055354607713545,-13.005606784100264,-13.169067565056482,-12.857234332851846
216,-13.255219573384892,-13.187468768050213,-13.364789526799298,-12.999598466726086
217,-13.396404259008365,-13.297856029251928,-13.533505372697038,-13.063878149513888
218,-11.735555237263775,-11.839850089540858,-11.953976802476687,-11.707829563732735
219,-12.61916893235607,-12.563070204993535,-12.751069022826533,-12.380333380120906
220,-12.606598166533024,-12.64430489764453,-12.817715320137435,-12.460652239712907
221,-12.646818664671459,-12.688571864364915,-12.855930323720427,-12.520843889381618
222,-12.683785663615161,-12.708722988410551,-12.867848514730792,-12.547810010131155
223,-12.78776065881142,-12.780594690080003,-12.93367817857738,-12.629945025789526
224,-12.723980973776667,-12.744431897812001,-12.881824267258326,-12.618190850550949
225,-12.682863048209672,-12.711936242100476,-12.888617890288431,-12.52661033783945
226,-12.750256640142513,-12.776478276735444,-12.93580041329983,-12.608234822755207
227,-13.020824755347148,-12.834435796483879,-13.014172822689579,-12.628240681662152
228,-11.694862737410093,-11.777477479326542,-11.885851852845065,-11.661557497159318
229,-13.148298794628761,-12.991723985835012,-13.13287002873489,-12.855373927160826
230,-13.160414817480616,-13.053802407458768,-13.233516113159054,-12.879836164882233
231,-12.767246199110264,-12.83498521111213,-12.99905421475464,-12.663526869473696
232,-12.988114699020443,-12.85531736552775,-13.043594544893324,-12.651340365362632
233,-11.692215508290076,-11.854272719848996,-11.993683259223364,-11.708654508453227
234,-12.287897196729894,-12.357672290736648,-12.5332564687017,-12.159558399206844
235,-13.031010517072222,-13.015117539644283,-13.177737030026268,-12.84093432211845
236,-13.408468850533433,-13.421299433753928,-13.602478246762105,-13.238030180149787
237,-14.692429285241175,-13.794329197095031,-13.98976312727033,-13.568069015507128
238,-13.438359649884898,-13.49938414370396,-13.710484445810774,-13.261546380267104
239,-13.198512978300743,-13.198307615700083,-13.394799297497988,-12.999638383666058
240,-12.991946802164893,-13.103322371550496,-13.302205106865737,-12.894459315553311
241,-13.334853906235425,-13.227392118135741,-13.43356148625885,-13.006109210188296
242,-13.353937123137106,-13.33202844676856,-13.511976208568303,-13.138493590765238
243,-13.24520050846534,-13.345407778528486,-13.528754764287436,-13.150178506088778
244,-13.679693889418067,-13.548548840709758,-13.72112181527551,-13.35335519365638
245,-13.956179914601512,-13.640979734596199,-13.86700511259845,-13.414434857834081
246,-12.785608234102128,-13.016811392729217,-13.187199131567,-12.818443233346956
247,-13.641384922659855,-13.3095927427612,-13.498933835372155,-13.088331417434476
248,-13.402818019791614,-13.352097519973706,-13.564711707741775,-13.13737283300918
249,-13.462621059226265,-13.413940334430224,-13.6061182137304,-13.197390803740094
250,-13.932543534618942,-13.529876004054222,-13.716416685656574,-13.302635912612512
251,-12.930700214265025,-13.103628906048831,-13.25861712316826,-12.923902031108877
252,-13.397727393151072,-13.314968393140207,-13.499434207296677,-13.134885925198002
253,-13.487490401666356,-13.436569493310465,-13.650082573737878,-13.22111053728563
254,-13.695887330192479,-13.424258202797443,-13.72658018598179,-13.101311160600147
255,-12.24636627191714,-12.286414767062812,-12.43861962680474,-12.107020328023347
256,-11.775875756785169,-11.88289718467789,-11.996423466254928,-11.7661143292423
257,-12.477696048321548,-12.453899676533892,-12.579552777300133,-12.299923828373819
258,-12.59698973417786,-12.606534608977972,-12.758689719770233,-12.456185918461244
259,-12.510999145076678,-12.53097424017755,-12.672697416094326,-12.393893948675998
260,-12.425984391948903,-12.451728092581163,-12.595525054173027,-12.291138873490906
261,-12.361503823850509,-12.407890617995323,-12.576941535174662,-12.252435692627705
262,-12.564827973967644,-12.470749331014536,-12.631130627616336,-12.311246142602428
263,-12.078863851658335,-12.193059155253058,-12.322691822632635,-12.063563236925955
264,-12.651261758922304,-12.529581456317821,-12.693723641957298,-12.362127472439246
265,-11.92107728321888,-12.04510939921697,-12.16054447769735,-11.92418496844481
266,-12.612560119732864,-12.455071382907978,-12.60472610873045,-12.286192663302884
267,-11.46978686874456,-11.57655735062669,-11.683041728754013,-11.474572803154615
268,-12.390370719947837,-12.36237385889036,-12.551684693537414,-12.168655603400964
